LSOA,Avg_Sentiment_Score,Place_Count,Sentiment_Std,Most_Common_Category,Avg_Rating,Total_Reviews
E01000929,0.642,1,,Positive,4.3,50
E01000930,0.558,1,,Neutral,3.4,47
E01000931,0.649,1,,Positive,4.6,24
E01000935,0.703,1,,Very Positive,3.1,61
E01000936,0.663,1,,Positive,3.4,118
E01000937,0.66,4,0.055,Positive,4.0,1304
E01000938,0.404,3,0.466,Very Negative,5.0,3
E01000939,0.768,3,0.167,Very Positive,4.3,367
E01000940,0.624,1,,Positive,3.5,154
E01000942,0.576,3,0.047,Neutral,4.533,477
E01000944,0.579,5,0.108,Neutral,4.4,75
E01000945,0.526,10,0.204,Neutral,4.39,3970
E01000946,0.627,7,0.116,Neutral,4.2,874
E01000947,0.386,10,0.291,Positive,3.77,6027
E01000948,0.763,2,0.062,Very Positive,4.45,59
E01000949,0.496,2,0.083,Negative,4.75,6
E01000950,0.564,1,,Neutral,5.0,1
E01000951,0.584,1,,Neutral,1.0,1
E01000952,0.755,2,0.069,Very Positive,4.55,109
E01000953,0.607,21,0.154,Positive,4.41,32843
E01000954,0.497,1,,Negative,4.2,5
E01000955,0.65,5,0.107,Very Positive,4.64,99
E01000959,0.319,2,0.452,Positive,4.4,196
E01000960,0.486,1,,Negative,3.7,3
E01000963,0.749,2,0.027,Very Positive,3.85,269
E01000967,0.734,1,,Very Positive,4.7,14206
E01000969,0.581,1,,Neutral,4.5,623
E01000972,0.514,1,,Neutral,4.1,5279
E01000974,0.319,1,,Very Negative,4.7,6
E01000975,0.619,2,0.121,Neutral,3.25,403
E01000976,0.687,3,0.152,Neutral,4.533,23
E01000977,0.842,1,,Very Positive,5.0,25
E01000978,0.913,1,,Very Positive,5.0,22
E01000979,0.329,2,0.466,Positive,2.85,30
E01000981,0.259,2,0.366,Neutral,3.65,5
E01000982,0.356,3,0.309,Neutral,4.467,225
E01000983,0.491,1,,Negative,2.9,13
E01000985,0.796,1,,Very Positive,5.0,1
E01000986,0.644,2,0.061,Positive,4.35,429
E01000987,0.625,2,0.041,Neutral,4.95,20
